Značka,Model,První registrace,Cena,Najeto,Výkon,Palivo,Spotřeba,Převodovka
Audi,Q7,7/2024,2 393 760 Kč,18 800 km,360 kW,Hybrid,8.6 l/100km,Automat
Maserati,Grecale,1/2023,2 389 760 Kč,45 000 km,390 kW,Benzín,9.5 l/100km,Automat
BMW,i5,12/2024,2 383 760 Kč,0 km,442 kW,Elektro,20.5 kWh/100km,Automat
BMW,740,6/2024,2 383 760 Kč,33 330 km,220 kW,Diesel,6.1 l/100km,Automat
Audi,SQ8,10/2023,2 382 260 Kč,16 840 km,373 kW,Benzín,12 l/100km,Automat
BMW,M3,12/2023,2 367 760 Kč,13 900 km,375 kW,Benzín,10.8 l/100km,Manuál
Audi,Q7,1/2024,2 366 760 Kč,120 km,210 kW,Diesel,8 l/100km,Automat
BMW,M3,1/2024,2 363 760 Kč,9 700 km,375 kW,Benzín,10 l/100km,Automat
Mercedes-Benz,E 63 AMG,4/2023,2 353 260 Kč,34 500 km,450 kW,Benzín,11.7 l/100km,Automat
Mercedes-Benz,C 63 AMG,4/2024,2 343 760 Kč,16 454 km,500 kW,Hybrid,,Automat
Mercedes-Benz,GLC 43 AMG,8/2024,2 328 260 Kč,9 000 km,310 kW,Benzín,,Automat
Alfa Romeo,Stelvio,12/2024,2 317 260 Kč,15 km,382 kW,Benzín,11.8 l/100km,Automat
Audi,RS6,3/2021,2 305 260 Kč,66 563 km,441 kW,Benzín,12.1 l/100km,Automat
Alfa Romeo,Stelvio,11/2024,2 304 260 Kč,15 km,382 kW,Benzín,11.8 l/100km,Automat
Audi,SQ7,12/2023,2 291 260 Kč,23 750 km,373 kW,Benzín,11.4 l/100km,Automat
Mercedes-Benz,EQS SUV,2/2024,2 291 260 Kč,1 838 km,265 kW,Elektro,,Automat
Mercedes-Benz,GLE 63 AMG,11/2020,2 285 760 Kč,92 630 km,450 kW,Benzín,,Automat
BMW,540,1/2025,2 264 260 Kč,4 500 km,210 kW,Diesel,6 l/100km,Automat
BMW,X5,10/2024,2 251 760 Kč,9 300 km,219 kW,Diesel,7.1 l/100km,Automat
Mercedes-Benz,GLE 350,5/2024,2 226 760 Kč,15 809 km,245 kW,Hybrid,,Automat
Audi,RS5,5/2024,2 224 760 Kč,11 374 km,331 kW,Benzín,9.1 l/100km,Automat
Mercedes-Benz,C 63 AMG,2/2024,2 219 760 Kč,15 300 km,500 kW,Hybrid,,Automat
Audi,RS4,7/2024,2 211 760 Kč,19 712 km,331 kW,Benzín,9.2 l/100km,Automat
BMW,X5,4/2024,2 185 260 Kč,25 849 km,210 kW,Diesel,,Automat
Land Rover,Discovery,10/2023,2 183 260 Kč,7 560 km,221 kW,Diesel,,Manuál
Mercedes-Benz,GLE 350,5/2024,2 177 760 Kč,8 717 km,245 kW,Hybrid,,Automat
Audi,RS e-tron GT,1/2022,2 144 760 Kč,32 576 km,440 kW,Elektro,20.8 kWh/100km,Automat
Jeep,Grand Cherokee,6/2024,2 132 760 Kč,1 350 km,280 kW,Hybrid,,Automat
