Značka,Model,První registrace,Cena,Najeto,Výkon,Palivo,Spotřeba,Převodovka
Seat,Tarraco,5/2023,854 260 Kč,27 000 km,110 kW,Diesel,4.8 l/100km,Automat
DS Automobiles,DS7 Crossback,11/2022,839 760 Kč,21 845 km,165 kW,Hybrid,,Automat
Volvo,XC60,1/2022,838 760 Kč,45 562 km,145 kW,Benzín,7.1 l/100km,Automat
Audi,Q5,12/2020,838 760 Kč,89 208 km,270 kW,Hybrid,,Automat
Audi,Q2,3/2024,834 760 Kč,8 610 km,110 kW,Benzín,6.1 l/100km,Automat
Audi,A3,11/2023,832 760 Kč,21 000 km,150 kW,Hybrid,5.9 l/100km,Automat
Mercedes-Benz,A 180,10/2022,832 760 Kč,10 km,85 kW,Diesel,4.4 l/100km,Automat
Mercedes-Benz,B 180,1/2024,827 760 Kč,3 034 km,100 kW,Benzín,,Automat
BMW,218 Gran Coupé,2/2023,826 260 Kč,15 232 km,110 kW,Diesel,5.4 l/100km,Automat
Hyundai,IONIQ 6,9/2023,824 260 Kč,8 730 km,111 kW,Elektro,13.9 kWh/100km,Automat
Audi,Q3,3/2021,824 260 Kč,98 500 km,110 kW,Hybrid,1.4 l/100km,Automat
Mercedes-Benz,A 250,3/2021,822 260 Kč,54 350 km,165 kW,Benzín,6.6 l/100km,Automat
BMW,330,10/2020,813 260 Kč,38 229 km,215 kW,Hybrid,,Automat
Audi,A4,8/2021,813 260 Kč,45 323 km,150 kW,Diesel,4.6 l/100km,Automat
BMW,520,5/2021,813 260 Kč,115 570 km,140 kW,Diesel,5.6 l/100km,Automat
Mercedes-Benz,A 200,11/2022,812 260 Kč,16 232 km,110 kW,Diesel,4.9 l/100km,Automat
Fiat,Scudo,3/2023,799 760 Kč,28 173 km,107 kW,Diesel,7.4 l/100km,Automat
Kia,Stinger,8/2018,792 260 Kč,68 633 km,272 kW,Benzín,10.2 l/100km,Automat
GWM,03,12/2024,786 760 Kč,10 km,126 kW,Elektro,16.8 kWh/100km,Automat
Mercedes-Benz,Vito,5/2023,786 760 Kč,3 103 km,85 kW,Elektro,,Automat
BMW,120,4/2024,785 760 Kč,25 300 km,140 kW,Diesel,5.1 l/100km,Automat
Volkswagen,Polo,3/2025,784 260 Kč,10 km,152 kW,Benzín,6.8 l/100km,Automat
BMW,320,10/2021,784 260 Kč,62 359 km,135 kW,Benzín,6.3 l/100km,Automat
Opel,Vivaro,8/2023,781 260 Kč,20 km,100 kW,Elektro,24.4 kWh/100km,Automat
MG,EHS,5/2023,774 260 Kč,11 718 km,209 kW,Hybrid,,Automat
GWM,03,10/2024,773 760 Kč,10 km,126 kW,Elektro,16.7 kWh/100km,Automat
Volkswagen,Crafter,2/2020,773 260 Kč,12 123 km,103 kW,Diesel,7.8 l/100km,Manuál
Fiat,Doblo,11/2023,773 260 Kč,100 km,100 kW,Elektro,22 kWh/100km,Automat
Nissan,Qashqai,1/2025,772 260 Kč,0 km,116 kW,Benzín,5.9 l/100km,Automat
MINI,Cooper D Countryman,1/2022,771 260 Kč,33 900 km,110 kW,Diesel,5.3 l/100km,Automat
Volvo,XC40,11/2022,765 760 Kč,35 448 km,155 kW,Hybrid,15 l/100km,Automat
Fiat,500X,7/2024,760 760 Kč,99 km,96 kW,Benzín,5.8 l/100km,Automat
Mazda,3,9/2024,760 760 Kč,500 km,110 kW,Benzín,6.2 l/100km,Automat
Renault,Captur,6/2024,759 760 Kč,9 400 km,105 kW,Hybrid,,Automat
Jeep,Compass,9/2023,759 260 Kč,12 350 km,96 kW,Benzín,5.4 l/100km,Automat
Mazda,CX-30,12/2024,758 260 Kč,0 km,103 kW,Benzín,5.7 l/100km,Manuál
Cupra,Formentor,7/2023,752 760 Kč,36 950 km,140 kW,Benzín,6.9 l/100km,Automat
Audi,Q5,10/2020,749 760 Kč,101 595 km,150 kW,Diesel,5.4 l/100km,Automat
Citroën,Jumper,3/2024,747 260 Kč,100 km,88 kW,Diesel,9.1 l/100km,Manuál
Mazda,6,9/2024,747 260 Kč,10 km,121 kW,Benzín,6.9 l/100km,Manuál
Opel,Vivaro,12/2024,743 760 Kč,20 km,106 kW,Diesel,7.7 l/100km,Manuál
Audi,Q2,5/2024,739 760 Kč,9 270 km,110 kW,Benzín,6.1 l/100km,Automat
Ford,Transit Custom,6/2023,734 260 Kč,39 976 km,96 kW,Diesel,6.2 l/100km,Manuál
Hyundai,IONIQ 5,9/2023,733 760 Kč,14 213 km,125 kW,Elektro,,Automat
Seat,Tarraco,5/2023,730 760 Kč,26 660 km,110 kW,Diesel,4.8 l/100km,Automat
Fiat,Ducato,10/2024,729 760 Kč,10 km,103 kW,Diesel,7.8 l/100km,Manuál
Citroën,C4,10/2024,722 260 Kč,10 km,100 kW,Elektro,15.3 kWh/100km,Automat
BMW,218 Gran Coupé,1/2024,720 760 Kč,7 104 km,100 kW,Benzín,5.4 l/100km,Automat
Mercedes-Benz,Vito,12/2018,718 760 Kč,118 000 km,140 kW,Diesel,6.6 l/100km,Automat
BMW,118,3/2023,718 260 Kč,14 300 km,110 kW,Diesel,4.2 l/100km,Automat
Audi,A4,7/2020,707 760 Kč,70 117 km,180 kW,Benzín,6.8 l/100km,Automat
Renault,Megane,6/2022,707 260 Kč,40 650 km,160 kW,Elektro,,Automat
Volkswagen,Crafter,9/2020,702 260 Kč,162 469 km,130 kW,Diesel,8.4 l/100km,Automat
MG,Marvel R,4/2022,695 260 Kč,56 750 km,213 kW,Elektro,,Automat
Nissan,Leaf,8/2023,694 760 Kč,6 000 km,160 kW,Elektro,,Automat
BMW,120,8/2021,694 260 Kč,72 025 km,131 kW,Benzín,5.5 l/100km,Automat
Cupra,Leon,2/2023,694 260 Kč,42 905 km,150 kW,Benzín,5 l/100km,Automat
Peugeot,5008,4/2022,692 760 Kč,28 217 km,96 kW,Diesel,5.1 l/100km,Manuál
Audi,A3,12/2022,689 260 Kč,25 490 km,110 kW,Benzín,5.6 l/100km,Automat
Kia,Ceed,1/2025,684 260 Kč,0 km,103 kW,Benzín,6 l/100km,Automat
Cupra,Leon,8/2022,683 760 Kč,18 959 km,150 kW,Hybrid,,Automat
Peugeot,508,6/2024,682 260 Kč,28 205 km,96 kW,Diesel,,Automat
Citroën,C5 Aircross,10/2022,677 260 Kč,15 688 km,165 kW,Hybrid,1.4 l/100km,Automat
MG,MG4,9/2023,672 260 Kč,5 000 km,150 kW,Elektro,,Automat
MG,MG4,3/2024,672 260 Kč,6 500 km,125 kW,Elektro,,Automat
Suzuki,Vitara,3/2025,671 260 Kč,10 km,85 kW,Hybrid,5.4 l/100km,Automat
MG,MG5,1/2023,669 760 Kč,1 260 km,116 kW,Elektro,,Automat
Audi,A1,2/2024,667 760 Kč,6 400 km,81 kW,Benzín,4.9 l/100km,Automat
BMW,116,5/2024,667 760 Kč,18 235 km,80 kW,Benzín,5.9 l/100km,Automat
Opel,Astra,12/2022,667 260 Kč,1 500 km,165 kW,Hybrid,4.2 l/100km,Automat
Audi,A1,5/2024,667 260 Kč,6 621 km,85 kW,Benzín,4.9 l/100km,Manuál
BMW,118,1/2021,666 260 Kč,26 900 km,110 kW,Diesel,4.1 l/100km,Automat
Mercedes-Benz,Vito,1/2020,664 260 Kč,102 337 km,65 kW,Diesel,,Manuál
Jaguar,E-Pace,11/2018,660 760 Kč,25 259 km,147 kW,Benzín,7.8 l/100km,Automat
Škoda,Karoq,4/2023,660 260 Kč,56 800 km,110 kW,Benzín,5.6 l/100km,Automat
Peugeot,208,4/2024,654 760 Kč,10 km,100 kW,Elektro,16.1 kWh/100km,Automat
Mercedes-Benz,B 220,8/2020,653 760 Kč,150 000 km,140 kW,Diesel,6.5 l/100km,Automat
Volkswagen,T-Cross,6/2024,644 760 Kč,2 700 km,85 kW,Benzín,4.9 l/100km,Automat
BMW,218 Active Tourer,6/2022,636 760 Kč,30 000 km,100 kW,Benzín,5.9 l/100km,Automat
Mercedes-Benz,Vito,9/2021,633 760 Kč,89 998 km,120 kW,Diesel,7.3 l/100km,Automat
Volkswagen,T6 Transporter,11/2018,626 260 Kč,71 859 km,75 kW,Diesel,5.9 l/100km,Manuál
Audi,A1,6/2024,625 760 Kč,3 700 km,85 kW,Benzín,4.9 l/100km,Manuál
Audi,A1,1/2024,625 760 Kč,7 500 km,70 kW,Benzín,4.9 l/100km,Automat
Ford,Kuga,1/2021,624 260 Kč,86 218 km,140 kW,Diesel,5.7 l/100km,Automat
Škoda,Karoq,3/2023,619 760 Kč,29 201 km,110 kW,Benzín,5.4 l/100km,Manuál
Opel,Grandland,2/2023,618 760 Kč,24 069 km,96 kW,Diesel,3.9 l/100km,Automat
Škoda,Karoq,6/2023,617 760 Kč,23 219 km,110 kW,Benzín,5.4 l/100km,Manuál
Volkswagen,ID.3,12/2022,617 260 Kč,18 559 km,107 kW,Elektro,,Automat
Tesla,Model 3,12/2019,617 260 Kč,124 968 km,340 kW,Elektro,,Automat
Mercedes-Benz,Vito,1/2017,615 760 Kč,150 000 km,120 kW,Diesel,5.8 l/100km,Automat
Ford,S-Max,9/2020,615 760 Kč,22 100 km,110 kW,Diesel,6 l/100km,Manuál
Mercedes-Benz,Vito,5/2020,610 760 Kč,118 866 km,100 kW,Diesel,7.4 l/100km,Manuál
Hyundai,Tucson,2/2021,603 760 Kč,43 451 km,169 kW,Hybrid,4.8 l/100km,Automat
Cupra,Formentor,11/2022,602 260 Kč,23 369 km,150 kW,Hybrid,,Automat
Citroën,C5 Aircross,1/2024,602 260 Kč,8 038 km,96 kW,Benzín,5.9 l/100km,Manuál
BMW,320,6/2020,599 760 Kč,135 000 km,140 kW,Diesel,4.7 l/100km,Automat
Mercedes-Benz,Vito,10/2019,595 760 Kč,46 750 km,84 kW,Diesel,6.2 l/100km,Manuál
Cupra,Leon,7/2022,594 260 Kč,23 100 km,150 kW,Hybrid,,Automat
MG,MG3,11/2024,586 260 Kč,10 km,143 kW,Hybrid,,Automat
Cupra,Formentor,5/2021,583 260 Kč,70 122 km,110 kW,Benzín,5.4 l/100km,Manuál
Hyundai,Kona,2/2023,577 760 Kč,7 105 km,101 kW,Elektro,,Automat
BMW,118,8/2021,573 260 Kč,17 600 km,100 kW,Benzín,5.4 l/100km,Manuál
Ford,Transit Courier,8/2024,571 260 Kč,255 km,74 kW,Benzín,5 l/100km,Manuál
Audi,A4,5/2019,565 260 Kč,120 000 km,170 kW,Diesel,5.3 l/100km,Automat
BMW,435,4/2014,564 760 Kč,142 710 km,225 kW,Benzín,7.5 l/100km,Automat
Nissan,Qashqai,6/2023,562 260 Kč,8 723 km,103 kW,Benzín,5.9 l/100km,Manuál
Seat,Leon,3/2021,562 260 Kč,65 633 km,150 kW,Hybrid,,Automat
Volkswagen,Caddy,3/2021,551 760 Kč,108 779 km,75 kW,Diesel,4.9 l/100km,Manuál
Opel,Vivaro,3/2019,550 760 Kč,119 040 km,107 kW,Diesel,6.6 l/100km,Manuál
Mercedes-Benz,C 300,2/2020,549 260 Kč,149 044 km,225 kW,Hybrid,6.6 l/100km,Automat
MG,ZS,2/2022,548 260 Kč,47 937 km,115 kW,Elektro,,Automat
Ford,Transit Custom,8/2019,547 260 Kč,46 910 km,96 kW,Diesel,7.7 l/100km,Manuál
Suzuki,Vitara,1/2023,538 760 Kč,17 530 km,95 kW,Benzín,5.4 l/100km,Manuál
Jeep,Grand Cherokee,2/2016,538 760 Kč,98 916 km,210 kW,Benzín,10.2 l/100km,Automat
Peugeot,Expert,3/2017,531 260 Kč,161 530 km,130 kW,Diesel,5.8 l/100km,Automat
Volkswagen,Taigo,4/2024,525 260 Kč,15 401 km,70 kW,Benzín,4.7 l/100km,Manuál
Ford,Transit,11/2021,522 260 Kč,63 576 km,77 kW,Diesel,8.3 l/100km,Manuál
Audi,A1,5/2023,519 760 Kč,59 000 km,81 kW,Benzín,4.9 l/100km,Automat
Renault,Trafic,12/2019,512 260 Kč,124 584 km,107 kW,Diesel,6.3 l/100km,Manuál
Kia,Niro,2/2020,499 260 Kč,108 854 km,150 kW,Elektro,,Automat
Nissan,Leaf,11/2023,497 760 Kč,19 560 km,110 kW,Elektro,,Automat
Volkswagen,ID.3,11/2020,496 760 Kč,79 770 km,150 kW,Elektro,16.1 kWh/100km,Automat
Hyundai,Kona,9/2021,496 260 Kč,19 004 km,100 kW,Elektro,,Automat
Volkswagen,T6 Transporter,12/2019,491 260 Kč,165 000 km,110 kW,Diesel,6 l/100km,Manuál
MINI,Cooper SE,2/2022,477 260 Kč,36 600 km,135 kW,Elektro,,Automat
Ford,Transit Custom,9/2021,475 760 Kč,89 000 km,96 kW,Diesel,7.7 l/100km,Manuál
Renault,Captur,6/2022,474 260 Kč,61 700 km,105 kW,Hybrid,1.4 l/100km,Automat
Citroën,C4 Picasso,2/2023,474 260 Kč,15 108 km,96 kW,Benzín,,Manuál
Kia,Sportage,1/2022,474 260 Kč,79 500 km,97 kW,LPG,9.3 l/100km,Manuál
Ford,Transit,10/2020,471 260 Kč,124 470 km,96 kW,Diesel,9.5 l/100km,Manuál
Dacia,Spring,12/2024,461 760 Kč,20 km,33 kW,Elektro,14.1 kWh/100km,Automat
Fiat,Scudo,8/2015,458 760 Kč,140 000 km,120 kW,Diesel,7.1 l/100km,Manuál
Ford,Transit Custom,5/2021,445 760 Kč,65 495 km,77 kW,Diesel,6.1 l/100km,Manuál
Nissan,Juke,1/2024,435 760 Kč,21 000 km,84 kW,Benzín,4.9 l/100km,Manuál
Evo,3,7/2023,435 260 Kč,14 628 km,83 kW,LPG,,Manuál
BMW,116,10/2019,428 760 Kč,54 500 km,85 kW,Diesel,3.8 l/100km,Manuál
