Značka,Model,První registrace,Cena,Najeto,Výkon,Palivo,Spotřeba,Převodovka
Suzuki,Swift,4/2021,334 260 Kč,107 000 km,61 kW,Benzín,4.7 l/100km,Manuál
BMW,340,7/2022,1 496 760 Kč,38 000 km,275 kW,Benzín,7.4 l/100km,Automat
Toyota,Proace,6/2020,302 260 Kč,106 356 km,90 kW,Diesel,5.3 l/100km,Manuál
Audi,Q6,12/2024,2 734 260 Kč,2 000 km,240 kW,Elektro,,Automat
Volkswagen,T5 Transporter,9/2014,215 260 Kč,112 000 km,62 kW,Diesel,7.5 l/100km,Manuál
Mercedes-Benz,CLA 250 Shooting Brake,12/2021,730 260 Kč,61 568 km,160 kW,Hybrid,,Automat
Jeep,Renegade,1/2023,628 760 Kč,67 km,95 kW,Benzín,5.5 l/100km,Automat
Mercedes-Benz,GLC 300,7/2023,1 758 760 Kč,21 000 km,230 kW,Hybrid,,Automat
Ford,Transit,10/2013,97 260 Kč,163 000 km,74 kW,Diesel,8.1 l/100km,Manuál
BMW,X6 M,5/2018,1 291 260 Kč,95 891 km,423 kW,Benzín,10.8 l/100km,Automat
Fiat,Ducato,9/2014,153 760 Kč,111 200 km,85 kW,Diesel,8 l/100km,Manuál
Volkswagen,T5 Transporter,3/2014,237 760 Kč,109 000 km,62 kW,Diesel,7.5 l/100km,Manuál
Volkswagen,T5 Transporter,7/2014,215 260 Kč,170 000 km,62 kW,Diesel,7.5 l/100km,Manuál
Fiat,Ducato,7/2021,447 760 Kč,89 000 km,103 kW,Diesel,5.2 l/100km,Manuál
BMW,540,8/2023,2 225 760 Kč,20 000 km,250 kW,Diesel,5.8 l/100km,Automat
Škoda,Yeti,9/2017,485 760 Kč,20 273 km,81 kW,Benzín,5.5 l/100km,Automat
Citroën,Jumper,1/2020,197 260 Kč,174 000 km,103 kW,Diesel,6.7 l/100km,Manuál
Suzuki,Ignis,3/2020,324 260 Kč,70 900 km,66 kW,Benzín,4.7 l/100km,Manuál
Volkswagen,T5 Transporter,7/2013,185 760 Kč,103 000 km,62 kW,Diesel,7.5 l/100km,Manuál
Opel,Vivaro,7/2019,403 260 Kč,117 335 km,92 kW,Diesel,6 l/100km,Manuál
Citroën,C3,11/2014,82 260 Kč,115 000 km,50 kW,Benzín,4.1 l/100km,Manuál
Volkswagen,T6 Transporter,1/2021,573 260 Kč,167 236 km,110 kW,Diesel,6.6 l/100km,Automat
Volkswagen,T6 Transporter,1/2022,817 760 Kč,115 414 km,110 kW,Diesel,6.6 l/100km,Automat
Renault,Scenic,2/2012,104 760 Kč,124 000 km,96 kW,Benzín,7.3 l/100km,Manuál
Fiat,Scudo,6/2015,220 760 Kč,78 982 km,94 kW,Diesel,6.9 l/100km,Manuál
Toyota,RAV4,1/2024,1 109 760 Kč,500 km,130 kW,Benzín,4.5 l/100km,Automat
Fiat,Scudo,6/2015,220 760 Kč,78 982 km,94 kW,Diesel,6.9 l/100km,Manuál
Ford,Grand C-Max,4/2018,182 260 Kč,156 571 km,88 kW,Diesel,4.9 l/100km,Manuál
Citroën,C4 SpaceTourer,1/2020,240 760 Kč,110 580 km,96 kW,Diesel,4 l/100km,Manuál
Fiat,500X,5/2021,428 260 Kč,104 000 km,96 kW,Diesel,5.2 l/100km,Manuál
Volkswagen,T5 Transporter,6/2014,279 760 Kč,126 000 km,62 kW,Diesel,7.5 l/100km,Manuál
Mercedes-Benz,Vito,9/2020,381 760 Kč,62 188 km,100 kW,Diesel,6.5 l/100km,Manuál
Nissan,Micra,7/2012,97 260 Kč,170 688 km,59 kW,Benzín,5 l/100km,Manuál
Ford,Ranger,12/2024,1 364 260 Kč,0 km,177 kW,Diesel,10 l/100km,Automat
Alfa Romeo,Giulia,10/2023,1 529 260 Kč,1 km,375 kW,Benzín,10 l/100km,Automat
Smart,ForFour,3/2022,292 260 Kč,20 214 km,60 kW,Elektro,,Automat
Hyundai,i10,2/2012,121 260 Kč,102 046 km,51 kW,Benzín,4.6 l/100km,Manuál
Citroën,C4 SpaceTourer,1/2020,240 760 Kč,110 580 km,96 kW,Diesel,4 l/100km,Manuál
Volkswagen,T5 Transporter,10/2014,267 260 Kč,136 000 km,62 kW,Diesel,7.5 l/100km,Manuál
Citroën,Jumper,6/2024,801 760 Kč,27 km,103 kW,Diesel,10 l/100km,Manuál
Ford,Ranger,12/2024,1 371 760 Kč,0 km,177 kW,Diesel,10 l/100km,Automat
Honda,e:NY1,8/2023,1 043 760 Kč,0 km,150 kW,Elektro,,Automat
Volkswagen,T5 Transporter,8/2014,279 760 Kč,88 500 km,62 kW,Diesel,7.5 l/100km,Manuál
Toyota,Mirai,4/2020,407 760 Kč,63 541 km,113 kW,Vodík,,Automat
Fiat,500X,7/2021,447 260 Kč,88 000 km,96 kW,Diesel,5.2 l/100km,Manuál
Mercedes-Benz,Vito,12/2019,866 260 Kč,49 000 km,140 kW,Diesel,6.6 l/100km,Automat
Volvo,XC60,8/2022,1 055 760 Kč,32 300 km,335 kW,Hybrid,,Automat
Mercedes-Benz,Vito,10/2021,706 760 Kč,11 064 km,150 kW,Elektro,,Automat
Fiat,Ducato,7/2021,507 260 Kč,59 000 km,103 kW,Diesel,7.3 l/100km,Manuál
Alfa Romeo,Stelvio,10/2023,1 497 760 Kč,1 km,375 kW,Benzín,11.7 l/100km,Automat
Tesla,Model Y,1/2023,856 260 Kč,8 260 km,378 kW,Elektro,16.9 kWh/100km,Automat
Ford,Transit Custom,9/2021,400 760 Kč,99 902 km,96 kW,Diesel,7.7 l/100km,Manuál
Jeep,Avenger,1/2024,614 760 Kč,9 900 km,74 kW,Benzín,5.7 l/100km,Manuál
Smart,ForFour,2/2022,330 260 Kč,5 812 km,60 kW,Elektro,,Automat
Kia,EV6,1/2024,973 760 Kč,1 km,168 kW,Elektro,16.5 kWh/100km,Automat
Ford,Transit Custom,1/2019,344 260 Kč,174 000 km,125 kW,Diesel,6.3 l/100km,Manuál
Volkswagen,T6 Transporter,2/2022,1 159 760 Kč,70 701 km,110 kW,Diesel,6.6 l/100km,Automat
Citroën,C5 Aircross,3/2022,697 260 Kč,35 000 km,133 kW,Hybrid,1.3 l/100km,Automat
Fiat,Doblo,1/2014,122 260 Kč,166 400 km,74 kW,Diesel,5.5 l/100km,Manuál
Citroën,C4,6/2023,625 260 Kč,20 km,100 kW,Elektro,16.2 kWh/100km,Automat
Volkswagen,T6 Transporter,1/2021,702 260 Kč,153 377 km,110 kW,Diesel,6.6 l/100km,Automat
Opel,Vivaro,7/2019,330 760 Kč,169 786 km,70 kW,Diesel,6.7 l/100km,Manuál
Volkswagen,T5 Transporter,8/2013,221 260 Kč,79 700 km,62 kW,Diesel,7.5 l/100km,Manuál
Citroën,C4,7/2023,654 760 Kč,500 km,100 kW,Elektro,15.3 kWh/100km,Automat
Citroën,Jumper,11/2018,538 260 Kč,53 000 km,120 kW,Diesel,6.6 l/100km,Manuál
Citroën,Jumper,6/2024,801 760 Kč,17 km,103 kW,Diesel,10 l/100km,Manuál
Audi,e-tron,3/2023,1 071 760 Kč,8 500 km,230 kW,Elektro,,Automat
Volvo,EX30,12/2024,812 260 Kč,0 km,200 kW,Elektro,,Automat
Mercedes-Benz,Vito,10/2019,417 260 Kč,71 900 km,84 kW,Diesel,6.2 l/100km,Manuál
Chevrolet,Spark,9/2013,129 760 Kč,76 500 km,50 kW,Benzín,5 l/100km,Manuál
Citroën,C4,8/2023,587 760 Kč,5 km,100 kW,Elektro,14 kWh/100km,Automat
BMW,520,11/2024,1 407 260 Kč,4 km,140 kW,Benzín,5.8 l/100km,Automat
Citroën,C4,8/2023,573 260 Kč,7 200 km,100 kW,Elektro,15.2 kWh/100km,Automat
Citroën,C4,6/2023,559 760 Kč,15 km,100 kW,Elektro,,Automat
Mercedes-Benz,CLA 180,1/2018,538 760 Kč,65 000 km,80 kW,Diesel,4 l/100km,Automat
Nissan,Townstar,9/2023,315 260 Kč,5 500 km,96 kW,Benzín,6.4 l/100km,Manuál
Ford,Transit,1/2019,405 260 Kč,126 020 km,96 kW,Diesel,7.4 l/100km,Manuál
Opel,Vivaro,1/2018,287 260 Kč,164 352 km,88 kW,Diesel,6.5 l/100km,Manuál
Peugeot,Expert,11/2020,344 760 Kč,136 000 km,90 kW,Diesel,5.6 l/100km,Manuál
Toyota,Proace,8/2020,555 760 Kč,100 692 km,90 kW,Diesel,5.4 l/100km,Manuál
Mercedes-Benz,Citan,7/2017,239 260 Kč,165 501 km,65 kW,Diesel,4.2 l/100km,Manuál
Citroën,C4,6/2023,574 760 Kč,6 400 km,100 kW,Elektro,15.3 kWh/100km,Automat
Jeep,Avenger,3/2024,604 760 Kč,17 826 km,74 kW,Benzín,5.7 l/100km,Manuál
Audi,A3,10/2020,486 760 Kč,130 198 km,85 kW,Diesel,4.5 l/100km,Manuál
